benchmark,operation,mata-runtime,mona-runtime
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_16.mata,composition,101574,871468
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_16.mata,composition,94366,906423
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_16.mata,composition,94038,875984
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_10.mata,composition,42750,81869
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_10.mata,composition,39156,85733
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_10.mata,composition,40224,67918
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_24.mata,composition,231566,4581089
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_24.mata,composition,204366,4710260
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_24.mata,composition,241280,4762186
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_35.mata,composition,493065,9816094
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_35.mata,composition,493390,9804658
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_35.mata,composition,491207,8031814
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_30.mata,composition,362385,3656923
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_30.mata,composition,209338,3607800
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_30.mata,composition,217669,3703557
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_32.mata,composition,390640,12504835
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_32.mata,composition,407131,11043953
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_32.mata,composition,403434,12839766
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_31.mata,composition,232698,9648075
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_31.mata,composition,232251,9262201
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_31.mata,composition,369575,12855354
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_13.mata,composition,63871,388093
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_13.mata,composition,65126,407448
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_13.mata,composition,64113,415596
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_7.mata,composition,19475,27053
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_7.mata,composition,20496,26897
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_7.mata,composition,18734,27022
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_6.mata,composition,13843,12656
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_6.mata,composition,14747,12285
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_6.mata,composition,14813,13919
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_11.mata,composition,47343,154844
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_11.mata,composition,51426,136987
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_11.mata,composition,49970,160132
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_2.mata,composition,1666,1678
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_2.mata,composition,1844,1084
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_2.mata,composition,1870,1120
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_21.mata,composition,164448,1394454
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_21.mata,composition,170346,1391551
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_21.mata,composition,176957,1481936
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_4.mata,composition,6580,5022
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_4.mata,composition,6835,5955
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_4.mata,composition,6909,5838
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_19.mata,composition,142003,1421370
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_19.mata,composition,153080,1426903
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_19.mata,composition,154293,1364786
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_22.mata,composition,196590,2510076
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_22.mata,composition,117817,2555456
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_22.mata,composition,194535,3381017
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_15.mata,composition,87359,901759
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_15.mata,composition,90139,879443
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_15.mata,composition,85663,898670
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_28.mata,composition,313026,8191580
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_28.mata,composition,306808,9703934
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_28.mata,composition,311005,9450311
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_9.mata,composition,34190,83881
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_9.mata,composition,31139,81804
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_single_9.mata,composition,33501,81225
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_18.mata,composition,128889,1399453
../benchmarks/symbol_from_end_nondet/construct_replace/symbol_from_end_construct_replace_all_18.mata,composition,76304,1240505
