benchmark,operation,mata-runtime,mona-runtime
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-toLower-smt2_reverse_30.mata,apply_language,965,383
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-toLower-smt2_reverse_30.mata,apply_language,870,379
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-toLower-smt2_reverse_30.mata,apply_language,1006,377
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_247.mata,apply_language,4102,1344
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_247.mata,apply_language,4323,1786
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_247.mata,apply_language,4341,1589
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_240.mata,apply_language,3528,1163
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_240.mata,apply_language,3257,1120
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_240.mata,apply_language,3308,1087
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_127.mata,apply_language,3457,1051
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_127.mata,apply_language,3423,1270
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_127.mata,apply_language,3445,1233
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_358.mata,apply_language,4038,1315
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_358.mata,apply_language,4368,1679
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/apply_language/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_358.mata,apply_language,4074,1706
