benchmark,operation,mata-runtime-0,mata-runtime-1,mona-runtime-0,mona-runtime-1
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-toLower-smt2_reverse_30.mata,projection,599,6806,115,79
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-toLower-smt2_reverse_30.mata,projection,477,6364,126,89
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-htmlEscape-toLower-smt2_reverse_30.mata,projection,472,6163,122,85
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_247.mata,projection,2690,83545,814,586
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_247.mata,projection,2689,83812,746,605
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_247.mata,projection,2703,86167,833,718
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_240.mata,projection,2731,56662,1208,830
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_240.mata,projection,2523,55962,867,681
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_reverse_240.mata,projection,2495,57830,770,636
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_127.mata,projection,3535,59462,2061,1252
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_127.mata,projection,4835,59115,1287,1134
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-addslashes-escapeString-smt2_127.mata,projection,3518,57794,2055,1571
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_358.mata,projection,1725,86369,94,64
../benchmarks/non-incremental-QF_SLIA-20230331-transducer-plus/projection/non-incremental-QF_SLIA-20230331-transducer-plus-Commutativity-escapeString-toUpper-smt2_358.mata,projection,1691,84211,93,63
