benchmark,operation,mata-runtime,mona-runtime
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,apply_language_backward,73786,2785
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,apply_language_backward,80642,3500
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,apply_language_backward,75152,2796
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,apply_language_backward,1269,1200
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,apply_language_backward,1252,1161
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,apply_language_backward,1252,1082
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,apply_language_backward,21618,1096
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,apply_language_backward,22823,1105
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,apply_language_backward,20938,1116
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,apply_language_backward,768,285
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,apply_language_backward,770,262
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,apply_language_backward,755,296
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,apply_language_backward,1560746,14611
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,apply_language_backward,1539286,15806
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,apply_language_backward,1548704,8724
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all47-smt2_2.mata,apply_language_backward,573753,13091
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all47-smt2_2.mata,apply_language_backward,557200,20422
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all47-smt2_2.mata,apply_language_backward,578499,13948
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,apply_language_backward,33006,1145
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,apply_language_backward,32805,1159
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,apply_language_backward,31388,1144
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_language_backward/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all6-smt2_1.mata,apply_language_backward,649,198
