benchmark,operation,mata-runtime,mona-runtime
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,apply_literal,495,411
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,apply_literal,476,451
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,apply_literal,464,510
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,apply_literal,249,267
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,apply_literal,352,247
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,apply_literal,280,279
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,apply_literal,425,343
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,apply_literal,368,328
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,apply_literal,410,339
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,apply_literal,259,291
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,apply_literal,260,261
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,apply_literal,282,252
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,apply_literal,292,361
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,apply_literal,282,351
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/apply_literal/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,apply_literal,266,342
