benchmark,operation,mata-runtime,mona-runtime
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_3.mata,composition,1544985,9566
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_3.mata,composition,1552636,12828
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_3.mata,composition,1588031,9634
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,composition,32686,1218
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,composition,35266,1230
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,composition,32838,1214
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,composition,860,266
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,composition,860,290
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,composition,728,289
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,composition,27935,1277
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,composition,26036,1321
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,composition,26410,1429
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,composition,33694,1487
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,composition,32769,1721
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,composition,32262,1484
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all6-smt2_1.mata,composition,589,221
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all6-smt2_1.mata,composition,616,199
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all6-smt2_1.mata,composition,709,186
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_3.mata,composition,1793467,11151
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_3.mata,composition,1862603,10303
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_3.mata,composition,1906091,13474
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_reverse_3.mata,composition,1597909,9462
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_reverse_3.mata,composition,1621218,10596
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_reverse_3.mata,composition,1604502,8084
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all23-smt2_0.mata,composition,30880,1432
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all23-smt2_0.mata,composition,31671,1347
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all23-smt2_0.mata,composition,31167,1236
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_0.mata,composition,795,278
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_0.mata,composition,834,279
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_0.mata,composition,808,282
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all223-smt2_2.mata,composition,1021,360
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all223-smt2_2.mata,composition,1004,326
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all223-smt2_2.mata,composition,1092,312
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_3.mata,composition,424708,12661
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_3.mata,composition,406684,10968
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_3.mata,composition,403275,10079
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_1.mata,composition,964,258
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_1.mata,composition,944,321
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_1.mata,composition,884,258
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_2.mata,composition,153374,6133
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_2.mata,composition,168392,8675
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_2.mata,composition,169559,11823
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace11-smt2_2.mata,composition,38934,1279
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace11-smt2_2.mata,composition,37494,1414
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace11-smt2_2.mata,composition,36812,1295
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all35-smt2_3.mata,composition,4505666,23562
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all35-smt2_3.mata,composition,4651077,21324
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all35-smt2_3.mata,composition,4507728,16084
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_2.mata,composition,18565,1303
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_2.mata,composition,29945,1241
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_2.mata,composition,29819,1240
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace221-smt2_reverse_3.mata,composition,6609923,59548
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace221-smt2_reverse_3.mata,composition,6900009,43204
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace221-smt2_reverse_3.mata,composition,6812140,86050
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_1.mata,composition,10811,509
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_1.mata,composition,10646,442
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_1.mata,composition,9747,461
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_reverse_3.mata,composition,1876458
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_reverse_3.mata,composition,2092030
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_reverse_3.mata,composition,1999733
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all18-smt2_0.mata,composition,756,199
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all18-smt2_0.mata,composition,726,201
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all18-smt2_0.mata,composition,717,201
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_0.mata,composition,123761,6021
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_0.mata,composition,123830,4797
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_0.mata,composition,126820,6252
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all35-smt2_reverse_3.mata,composition,4529583,22434
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all35-smt2_reverse_3.mata,composition,4472351,20194
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all35-smt2_reverse_3.mata,composition,4441481,31018
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace25-smt2_0.mata,composition,22361,1243
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace25-smt2_0.mata,composition,24483,1447
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace25-smt2_0.mata,composition,27560,1460
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/pair/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all63-smt2_3.mata,composition,12982610,123362
