benchmark,operation,mata-runtime,mona-runtime
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_3.mata,composition_construct_replace,1527,904
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_3.mata,composition_construct_replace,1552,888
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_3.mata,composition_construct_replace,1611,956
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,composition_construct_replace,1546,777
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,composition_construct_replace,1910,741
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,composition_construct_replace,1528,755
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all153-smt2_1.mata,composition_construct_replace,2371,2054
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all153-smt2_1.mata,composition_construct_replace,2717,2408
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all153-smt2_1.mata,composition_construct_replace,2197,2469
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,composition_construct_replace,1325,945
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,composition_construct_replace,1351,889
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,composition_construct_replace,1400,862
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,composition_construct_replace,1435,677
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,composition_construct_replace,1464,671
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,composition_construct_replace,1538,668
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all90-smt2_1.mata,composition_construct_replace,2793,1696
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all90-smt2_1.mata,composition_construct_replace,2812,1456
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all90-smt2_1.mata,composition_construct_replace,2841,1282
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,composition_construct_replace,1627,977
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/composition/construct_replace/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,composition_construct_replace,1545,1038
