benchmark,operation,mata-runtime-0,mata-runtime-1,mona-runtime-0,mona-runtime-1
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,projection,918,1906,316,440
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,projection,834,1847,280,403
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_0.mata,projection,850,1945,293,460
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,projection,345,2146,147,198
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,projection,325,2086,150,207
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all65-smt2_0.mata,projection,365,2236,134,184
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,projection,384,806,136,202
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,projection,384,795,147,211
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all24-smt2_1.mata,projection,398,821,148,209
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,projection,214,1733,70,91
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,projection,219,1747,71,91
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all0-smt2_1.mata,projection,219,1807,74,96
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,projection,2792,5333,4084,4636
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,projection,2981,5800,3956,4499
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all101-smt2_2.mata,projection,2972,5425,5612,6274
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all47-smt2_2.mata,projection,2612,25632,1963,2715
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all47-smt2_2.mata,projection,2575,27960,1487,2100
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all47-smt2_2.mata,projection,2703,27135,1738,2364
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,projection,536,1322,167,234
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,projection,542,1353,173,237
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace101-smt2_1.mata,projection,547,1339,174,239
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all6-smt2_1.mata,projection,163,908,53,69
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all6-smt2_1.mata,projection,160,885,56,72
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all6-smt2_1.mata,projection,165,897,54,70
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace100-smt2_0.mata,projection,968,1885,1925,2035
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace100-smt2_0.mata,projection,933,1734,1786,1890
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace100-smt2_0.mata,projection,910,1781,1758,1867
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_reverse_2.mata,projection,8627,26775,21494,24000
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_reverse_2.mata,projection,9090,29230,19735,22192
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_reverse_2.mata,projection,9022,27313,18587,21003
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all23-smt2_0.mata,projection,587,1254,160,229
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all23-smt2_0.mata,projection,521,1203,164,282
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all23-smt2_0.mata,projection,490,1241,159,228
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_reverse_2.mata,projection,11642,43189,37650,41364
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_reverse_2.mata,projection,12603,44768,34522,37752
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_reverse_2.mata,projection,11864,41695,25438,28967
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_0.mata,projection,277,2111,83,108
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_0.mata,projection,288,2363,92,120
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_0.mata,projection,267,2050,90,118
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all146-smt2_0.mata,projection,921,2067,299,444
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all146-smt2_0.mata,projection,989,2031,318,462
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all146-smt2_0.mata,projection,917,2070,310,445
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all223-smt2_2.mata,projection,337,3049,97,129
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all223-smt2_2.mata,projection,326,2946,95,127
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all223-smt2_2.mata,projection,322,3181,106,143
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace47-smt2_1.mata,projection,15059,82625,12929,19899
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace47-smt2_1.mata,projection,14323,80114,14290,22705
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace47-smt2_1.mata,projection,13517,81330,15458,25146
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all30-smt2_0.mata,projection,2205,10258,2447,2558
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all30-smt2_0.mata,projection,2252,10659,2876,2987
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all30-smt2_0.mata,projection,2205,10434,2753,2873
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all153-smt2_0.mata,projection,1002,2495,486,711
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all153-smt2_0.mata,projection,998,2555,477,695
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all153-smt2_0.mata,projection,990,2400,480,693
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_1.mata,projection,230,1870,74,99
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_1.mata,projection,237,2504,73,98
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all216-smt2_1.mata,projection,241,1865,86,111
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_2.mata,projection,11202,41231,26938,30287
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_2.mata,projection,14163,44576,24100,26642
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace26-smt2_2.mata,projection,13162,44660,37270,41423
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace11-smt2_2.mata,projection,5084,11357,7707,8631
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace11-smt2_2.mata,projection,4845,11146,10880,11767
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace11-smt2_2.mata,projection,5078,11352,6376,7078
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace102-smt2_0.mata,projection,346,379,198,220
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace102-smt2_0.mata,projection,337,411,184,207
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace102-smt2_0.mata,projection,355,380,201,225
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_2.mata,projection,3524,7450,6958,7610
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_2.mata,projection,3651,7412,4087,4617
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all11-smt2_2.mata,projection,3821,7331,4350,4942
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace150-smt2_0.mata,projection,1099,2587,450,668
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace150-smt2_0.mata,projection,1020,2613,516,748
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace150-smt2_0.mata,projection,1110,2861,461,677
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all10-smt2_0.mata,projection,234,1921,84,110
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all10-smt2_0.mata,projection,244,1979,73,98
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all10-smt2_0.mata,projection,248,1895,74,98
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_1.mata,projection,292,407,82,118
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_1.mata,projection,289,448,80,124
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_1.mata,projection,326,491,80,117
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all55-smt2_0.mata,projection,1057,2317,1356,1452
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all55-smt2_0.mata,projection,976,2193,1503,1612
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all55-smt2_0.mata,projection,963,2282,1463,1567
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_reverse_2.mata,projection,2216,3116,1975,2266
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_reverse_2.mata,projection,1892,3044,2094,2387
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace80-smt2_reverse_2.mata,projection,2141,3246,1966,2235
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all18-smt2_0.mata,projection,214,1390,64,87
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all18-smt2_0.mata,projection,213,1344,71,94
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all18-smt2_0.mata,projection,212,1419,68,92
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all157-smt2_0.mata,projection,389,6610,133,178
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all157-smt2_0.mata,projection,433,6908,123,152
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all157-smt2_0.mata,projection,385,6760,129,158
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_0.mata,projection,2320,8228,990,1445
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_0.mata,projection,1901,7966,1247,1792
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-all-lan_replace_all26-smt2_0.mata,projection,1999,7983,1505,2186
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace64-smt2_0.mata,projection,1753,6276,2829,2955
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace64-smt2_0.mata,projection,1785,6270,3331,3463
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace64-smt2_0.mata,projection,1854,6496,2588,2732
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace25-smt2_0.mata,projection,434,878,144,200
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace25-smt2_0.mata,projection,423,935,163,237
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-str_replace25-smt2_0.mata,projection,441,925,153,212
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all143-smt2_1.mata,projection,174,1020,56,73
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all143-smt2_1.mata,projection,171,1029,57,74
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all143-smt2_1.mata,projection,184,1019,56,73
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all160-smt2_0.mata,projection,370,6413,132,163
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all160-smt2_0.mata,projection,373,6357,128,158
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-str-rep-all-str_replace_all160-smt2_0.mata,projection,405,7653,170,201
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace77-smt2_1.mata,projection,207,251,58,81
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace77-smt2_1.mata,projection,219,264,61,89
../benchmarks/non-incremental-QF_SLIA-20230403-webapp/projection/non-incremental-QF_SLIA-20230403-webapp-lan-rep-lan_replace77-smt2_1.mata,projection,227,299,63,89
